TranslatedRecipeName,TranslatedIngredients,TotalTimeInMins,Cuisine,Cleaned-Ingredients,Ingredient-count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achari Aloo Parwal Sabzi Recipe (Pointed Gourd And Potato Stir Fry In Pickle Spices),"1/2 teaspoon Turmeric powder (Haldi),1/2 teaspoon Mustard seeds,1/2 teaspoon Fennel seeds (Saunf),1/2 teaspoon Kalonji (Onion Nigella Seeds),1/2 teaspoon Amchur (Dry Mango Powder),Salt - to taste,3 Dry Red Chillies - broken into 2,1 Onion - finely chopped,1 Tomato - finely sliced,2 tablespoons Mustard oil,400 grams Pointed gourd (Parval) - sliced lengthwise,3 Potatoes (Aloo) - sliced lengthwise,1 teaspoon Coriander (Dhania) Seeds,1/4 teaspoon Methi Seeds (Fenugreek Seeds),1/2 teaspoon Cumin seeds (Jeera)",50,North Indian Recipes,"tomato,salt,kalonji (onion nigella seeds),mustard oil,amchur (dry mango powder),mustard seeds,fennel seeds (saunf),coriander (dhania) seeds,onion,cumin seeds (jeera),methi seeds (fenugreek seeds),dry red chillies,potato (aloo),turmeric powder,pointed gourd (parval)",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pan Fried Avocado Kofta Recipe,"1/2 teaspoon Cumin powder (Jeera),1 Carrot (Gajjar) - grated,1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Tamarind Water - or lime juice,2 teaspoons Garam masala powder,1 tablespoon Rice flour - If required,Salt - to taste,1 teaspoon Coriander Powder (Dhania),1 teaspoon Red Chilli powder,1/2 teaspoon Black pepper powder,1 Onion - finely chopped,2 Tablespoons Sunflower Oil - for shallow frying,Sooji (Semolina/ Rava) - or breadcrumbs for dusting,1 Avocado - ripe,1 teaspoon Ginger - grated,2 Green Chillies - chopped,3 tablespoons Coriander (Dhania) Leaves - chopped,1 teaspoon Garlic - grated",18,Indian,"salt,cumin powder (jeera),ginger,rice flour,coriander (dhania) leaves,tamarind water lime juice,black pepper powder,red chilli powder,carrot,onion,garlic,sooji (semolina rava) breadcrumbs,coriander powder,avocado ripe,turmeric powder,green chillies,garam masala powder,sunflower oil",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cinnamon Spiced Orange Iced Tea Recipe,"1 inch Cinnamon Stick (Dalchini),2 tablespoon Sugar,Lemon wedges - few,2 Star anise - pieces,2 teaspoon Tea bags - or tea leaves,2 cups Water,2 Oranges,2-3 sprig Mint Leaves (Pudina)",25,Continental,"orange,mint leaves (pudina),water,sugar,cinnamon stick (dalchini),lemon,tea bags tea leaves,star anise",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punjabi Sabut Moong Ki Dal Recipe (Whole Green Lentils Cooked With Punjabi Spices),"1 inch Ginger - pounded,2 Green Chillies,1/2 teaspoon Turmeric powder (Haldi),Coriander (Dhania) Leaves - chopped,1 cup Green Moong Dal (Whole),Salt - to taste,1 teaspoon Cumin seeds (Jeera),1 teaspoon Ghee,2 Onions - roughly chopped,1/2 teaspoon Kashmiri Red Chilli Powder,4 cloves Garlic - roughly pounded,1 teaspoon Sunflower Oil,2 Tomatoes - roughly chopped,1/4 teaspoon Garam masala powder",40,North Indian Recipes,"tomato,salt,ginger,kashmiri red chilli powder,ghee,coriander (dhania) leaves,cloves garlic,onion,cumin seeds (jeera),green moong dal,turmeric powder,green chillies,garam masala powder,sunflower oil",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kali Mirch Aloo Bhindi Sabzi - Aloo Bhindi Pepper Fry Recipe,"1/2 teaspoon Turmeric powder (Haldi),2 teaspoons Cumin seeds (Jeera),2 cups Bhindi (Lady Finger/Okra) - cut into 1/2 an inch,Salt - to taste,1 teaspoon Cumin seeds (Jeera),3 Potatoes (Aloo) - boiled,2 teaspoons Whole Black Peppercorns,1 Onion - finely chopped,2 tablespoons Sunflower Oil",30,North Indian Recipes,"salt,bhindi (lady fingerokra) an,black peppercorns,onion,cumin seeds (jeera),potato (aloo),turmeric powder,sunflower oil",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolkata Style Vegetable Chop Recipe,"1 teaspoon Sugar,2 Cardamom (Elaichi) Pods/Seeds - crushed,4 tablespoon Corn flour,1/2 teaspoon Fennel seeds (Saunf),Salt - to taste,1 tablespoon Ginger - grated,1 Carrot (Gajjar),1 tablespoon Raw Peanuts (Moongphali) - crushed,1 Beetroot,1 Potato (Aloo),2 Dry Red Chillies,1 cup Whole Wheat Bread crumbs,Sunflower Oil - to deep fry,3 Whole Black Peppercorns,1/2 teaspoon Cumin seeds (Jeera),1 pinch Kala jeera,1/2 inch Cinnamon Stick (Dalchini)",60,Bengali Recipes,"salt,ginger,corn flour,sunflower oil,cardamom (elaichi) podsseeds,fennel seeds (saunf),potato (aloo),black peppercorns,carrot,sugar,dry red chillies,cinnamon stick (dalchini),cumin seeds (jeera),peanuts (moongphali),beetroot,wheat bread crumbs,kala jeera",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creamy Chicken Pesto Spaghetti Pasta Recipe,"1/4 cup Walnuts,4 cloves Garlic,1 teaspoon Whole Black Pepper Corns,Salt - to taste,1 teaspoon Lemon juice,50 grams Basil leaves,4 Chicken breasts - boneless skinless,2 tablespoons Extra Virgin Olive Oil,300 grams Spaghetti Pasta,1/2 cup Sun Dried Tomatoes,1/4 cup Parmesan cheese",30,Italian Recipes,"salt,sun dried tomato,chicken breasts bless skinless,spaghetti pasta,black pepper corns,virgin olive oil,basil leaves,cloves garlic,lemon,parmesan cheese,walnuts",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sesame Potato Toast Recipe,"French Loaf - cut into slices or regular bread,4 Potatoes (Aloo) - boiled and peeled,Butter - for frying the toast,1/4 cup Sesame seeds (Til seeds),Salt - to taste,2 Green Chillies - finely chopped,2 teaspoons Chaat Masala Powder,1 Coriander (Dhania) Leaves - finely chopped",30,Continental,"salt,coriander (dhania) leaves,chaat masala powder,sesame seeds (til seeds),butter the toast,french loaf regular bread,potato (aloo),green chillies",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pepper Chicken Recipe,"1/2 teaspoon Turmeric powder (Haldi),2 tablespoons Garlic - minced,12 Curry leaves,Salt - to taste,1/2 cup Coriander (Dhania) Leaves - chopped,1 Onion - chopped,2 tablespoons Lemon juice - (and 1 teaspoon more),3 Green Chillies - chopped,2-1/2 tablespoons Whole Black Peppercorns - freshly crushed,Sunflower Oil - to cook,2 teaspoons Ginger - grated,2 teaspoons Coriander Powder (Dhania),500 grams Chicken - chopped to cubes with bone",30,Andhra,"salt,ginger,coriander (dhania) leaves,black peppercorns,curry leaves,garlic,onion,lemon (and ),turmeric powder,coriander powder,chicken cubes,green chillies,sunflower oil",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cabbage, Bell Pepper and Apples with Sriracha Slaw Recipe ","1 tablespoon Chia Seeds,1/4 cup Hung Curd (Greek Yogurt),1 tablespoon Sriracha sauce,1 teaspoon Honey,Salt and Pepper - to taste,1 cup Cabbage (Patta Gobi/ Muttaikose) - chopped finely,1 Red Bell pepper (Capsicum) - chopped finely,1 Apple - chopped finely,1 teaspoon Tabasco Original - Hot Sauce",20,Continental,"salt,red bell pepper (capsicum),hung curd (greek yogurt),tabasco original sauce,sriracha sauce,apple,chia seeds,pepper,cabbage (patta gobi muttaikose)",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hash Browns With Chives Recipe,"Sea salt - to taste,5 Cheddar cheese - cubes,4 Potatoes (Aloo),1 Whole Egg - beaten,2 Tomato - thick slices,1 teaspoon Butter,2 Whole Wheat Brown Bread,1 cup Cheese - grated,2 tablespoons Chives - chopped,3 teaspoon Extra Virgin Olive Oil,Salt and Pepper - for seasoning,1 Whole Egg - for poaching",40,Continental,"cheese,wheat brown bread,salt,eggs poaching,tomato,eggs,cheddar cheese cubes,virgin olive oil,chives,pepper,potato (aloo),butter",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khatti Meethi Lauki Dal Recipe - Sweet & Spicy Bottle Gourd Dal,"1 teaspoon Amchur (Dry Mango Powder),1/2 teaspoon Turmeric powder (Haldi),1 cup Arhar dal (Split Toor Dal) - washed well in water,1 Bay leaf (tej patta) - torn into half,1 teaspoon Sunflower Oil - for cooking,1 Lemon - juice extracted,Salt - to taste,Sunflower Oil - for cooking,1 Tomato - finely chopped,1 teaspoon Jaggery - crushed,1 teaspoon Lemon juice,Coriander (Dhania) Leaves - a small bunch finely chopped,1 sprig Curry leaves - finely chopped,1 inch Cinnamon Stick (Dalchini) - broken,2 cups Bottle gourd (lauki) - peeled and chopped,4 sprig Coriander (Dhania) Leaves - finely chopped,1 inch Ginger - finely chopped,1/2 teaspoon Cumin (Jeera) seeds,1 teaspoon Jaggery - powdered,1/2 teaspoon Red Chilli powder",50,North Indian Recipes,"tomato,salt,coriander (dhania),ginger,sunflower oil,arhar dal (split toor dal),amchur (dry mango powder),bay leaf (tej patta),jaggery,red chilli powder,curry leaves,coriander (dhania) leaves,cinnamon stick (dalchini),bottle gourd (lauki),lemon,turmeric powder,cumin (jeera) seeds",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange Zested Shortbread Cookie Recipe (Egg Free/Eggless),"2 cups All Purpose Flour (Maida),1/4 teaspoon Salt,1 teaspoon Vanilla Extract,200 grams Dark chocolate - semi sweet,1/2 cup Hazelnut - slightly toasted and powdered (or cashew nuts),1 cup Butter (unsalted) - at room temperature,1/2 cup Caster Sugar,1 teaspoon Orange Zest (Rind)",125,Continental,"salt,orange,dark chocolate semi sweet,vanilla,caster sugar,hazelnut (or cashew nuts),flour (maida),butter",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bihari Bitter Gourd Potato Vegetable Recipe,"1 teaspoon Jaggery - optional,1 teaspoon Amchur (Dry Mango Powder),1/2 teaspoon Turmeric powder (Haldi),Salt - to taste,1 teaspoon Cumin seeds (Jeera),4 cloves Garlic - finely chopped,1 teaspoon Red Chilli powder,1/2 teaspoon Garam masala powder,2 tablespoons Mustard oil,1 teaspoon Coriander (Dhania) Powder,3 Potatoes (Aloo) - thickly sliced,2 Onions - thinly sliced,2 Karela (Bitter Gourd/ Pavakkai) - deseeded and cut into thin strips",65,Bihari,"salt,mustard oil,karela (bitter gourd pavakkai),amchur (dry mango powder),jaggery,red chilli powder,cloves garlic,onion,cumin seeds (jeera),coriander (dhania) powder,potato (aloo),turmeric powder,garam masala powder",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beetroot Moong Phali Sabzi Recipe-Beetroot Stir Fry with Roasted Peanuts,"10 Pearl onions (Sambar Onions) - finely chopped,1/2 teaspoon Turmeric powder (Haldi),Salt - to taste,1/2 teaspoon Amchur (Dry Mango Powder),4 cloves Garlic - finely chopped,1 teaspoon Coriander Powder (Dhania),2 Green Chillies - finely chopped,1/2 cup Roasted Peanuts (Moongphali) - crushed,3 Beetroot - peeled and diced small,1 teaspoon Sunflower Oil,1 inch Ginger - finely chopped",30,North Indian Recipes,"salt,ginger,amchur (dry mango powder),cloves garlic,pearl onion (sambar onion),peanuts (moongphali),coriander powder,beetroot,turmeric powder,green chillies,sunflower oil",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chickpea Salad with Cherry Tomatoes,Olives and Capsicum Recipe","1/2 tablespoon Black pepper powder - crushed,1 tablespoon Extra Virgin Olive Oil,1 cup Kala Chana (Brown Chickpeas) - soaked overnight and  boiled,5-10 Cherry tomatoes,Salt - to taste,4-5 Baby corn - chopped,10-15 Basil leaves - chopped,Red Chilli flakes,1 Green Bell Pepper (Capsicum) - chopped into big slices,Black olives - chopped,1 Onion - sliced (cut into four pieces),3 cloves Garlic - crushed,1/2 Lemon",20,Mediterranean,"salt,cloves garlic,virgin olive oil,baby corn,basil leaves,red chilli flakes,onion,lemon,black olives,black pepper powder,green bell pepper (capsicum),cherry tomato,kala chana (brown chickpeas)",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sindhi Tahiri Recipe - Sindhi Style Sweet Rice,"Dry Fruits - to garnish,2 tablespoon Ghee,4 Whole Black Peppercorns,3/4 cup Sugar - adjustable,1 Cardamom (Elaichi) Pods/Seeds,1 cup Rice,1 teaspoon Fennel seeds (Saunf),Saffron strands - a few strands soaked in 1 tablespoon milk",55,Sindhi,"dry fruits,rice,cardamom (elaichi) podsseeds,fennel seeds (saunf),ghee,black peppercorns,sugar,saffron strands strands milk",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vegetable Rice Upma Recipe,"1 Carrot (Gajjar) - finely chopped,2 tablespoon Sunflower Oil,1 sprig Coriander (Dhania) Leaves - chopped,1 Tomato,Salt - to taste,1 inch Ginger - grated,1 teaspoon Mustard seeds,1 tablespoon White Urad Dal (Split),2 1/2 cups Hot water,1 cup Rice,1 sprig Curry leaves,1 tablespoon Chana dal (Bengal Gram Dal),1 Onion,1 tablespoon Ghee,1/4 cup Green peas (Matar),4 Green Chillies - chopped,5 Green beans (French Beans) - chopped",60,South Indian Recipes,"tomato,salt,green beans (french beans),ginger,chana dal (bengal gram dal),rice,mustard seeds,ghee,green peas (matar),water,carrot,curry leaves,white urad dal (split),coriander (dhania) leaves,onion,green chillies,sunflower oil",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traditional Bihari Litti Chokha Recipe,"3-1/2 cups Whole Wheat Flour,1/2 teaspoon Fennel seeds (Saunf) - pounded,3/4 cup Ghee,1/2 teaspoon Kalonji (Onion Nigella Seeds),Salt - to taste,1 teaspoon Lemon juice,1 inch Ginger - grated,1/3 teaspoon Baking soda,1 teaspoon Salt - to taste,Lukewarm Water - to knead the flour,2 cloves Garlic - grated,2 Green Chillies - finely chopped,Coriander (Dhania) Leaves - a small bunch finely chopped,1/2 teaspoon Ajwain (Carom seeds),1-1/2 cups Roasted Gram Flour (Sattu Ka Atta),2 tablespoons Curd (Dahi / Yogurt),1 tablespoon Mustard oil",105,Bihari,"salt,wheat flour,ginger,green chillies,coriander (dhania),kalonji (onion nigella seeds),ghee,fennel seeds (saunf),mustard oil,ajwain (carom seeds),cloves garlic,baking soda,curd,gram flour (sattu ka atta),lemon,water knead the flour",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Knot Recipe,"1/2 tablespoon Basil leaves,1 tablespoon Red Chilli flakes,3 tablespoon Extra Virgin Olive Oil,1 tablespoon Baking powder,1 tablespoon Sugar,4 cloves Garlic - minced,Salt - to taste,1-1/5 tablespoon Salt,4 tablespoon Butter - melted,2-1/4 teaspoon Active dry yeast,1 tablespoon Parsley leaves - dry,3 cups All Purpose Flour (Maida),1 cup Lukewarm Water - or milk",160,Fusion,"baking powder,salt,water milk,virgin olive oil,dry yeast,cloves garlic,basil leaves,sugar,red chilli flakes,parsley leaves dry,flour (maida),butter",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paya Curry Recipe | Lamb Trotters,"1 tablespoon Coriander Powder (Dhania),2 teaspoons Sunflower Oil,Salt - to taste,1-1/2 tablespoons Red Chilli powder - (adjust as per your preference),1 inch Cinnamon Stick (Dalchini),1 Onion - chopped,5 sprig Coriander (Dhania) Leaves,1 inch Ginger,12 Lamb trotters - well roasted & rinsed- lamb trotters,1 teaspoon Turmeric powder (Haldi),1 tablespoon Rice flour,4 Cloves (Laung),6 cloves Garlic",110,South Indian Recipes,"salt,ginger,red chilli powder ( per preference),cloves garlic,lamb trotters lamb trotters,coriander (dhania) leaves,onion,cinnamon stick (dalchini),coriander powder,rice flour,turmeric powder,cloves (laung),sunflower oil",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Dondakaya Chutney Recipe - Tindora Chutney,"3 Green Chillies,1 teaspoon White Urad Dal (Split),1/2 teaspoon Mustard seeds,4 cloves Garlic,3 Dry Red Chillies,Salt - to taste,20 grams Tamarind,1 teaspoon Cumin seeds (Jeera),4 sprig Coriander (Dhania) Leaves - chopped,1 teaspoon Chana dal (Bengal Gram Dal),1 tablespoon Sunflower Oil,1 tablespoon Peanuts,2 tablespoons Sunflower Oil,1 sprig Curry leaves,250 grams Tindora (Dondakaya/ Kovakkai) - sliced into rounds",15,Andhra,"salt,chana dal (bengal gram dal),mustard seeds,cloves garlic,peanuts,tindora (dondakaya kovakkai),curry leaves,white urad dal (split),dry red chillies,coriander (dhania) leaves,cumin seeds (jeera),tamarind,green chillies,sunflower oil",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murungai Keerai Masala Vadai Recipe,"1 cup Chana dal (Bengal Gram Dal) - soaked,4 Dry Red Chillies,4 cloves Garlic - minced,10 Mint Leaves (Pudina),1/2 inch Ginger - grated,Salt - to taste,1 Onion - chopped,3 teaspoons Coriander (Dhania) Leaves - finely chopped,Sunflower Oil - to cook,1/4 teaspoon Asafoetida (hing),3 Cloves (Laung),2 cups Drumstick Leaves (Moringa/Murungai Keerai) - chopped,1/2 teaspoon Cumin seeds (Jeera)",200,South Indian Recipes,"salt,ginger,drumstick leaves (moringamurungai keerai),coriander (dhania) leaves,asafoetida (hing),cloves garlic,dry red chillies,onion,cumin seeds (jeera),cloves (laung),mint leaves (pudina),chana dal (bengal gram dal),sunflower oil",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dhaba Style Country Chicken Recipe,"2 tablespoons Ginger - paste,Salt - as required,Water - as required,750 grams Chicken - curry cut,Mustard oil - as required,1 Onion - chopped,2 tablespoons Onion - paste,4 Bay leaf (tej patta),2 tablespoons Garlic - paste,2 Cinnamon Stick (Dalchini),1 tablespoon Turmeric powder (Haldi),1-1/2 tablespoon Coriander Powder (Dhania),1 tablespoon Cumin powder (Jeera),1 tablespoon Fresh Red Chilli - paste,1 inch Cardamom (Elaichi) Pods/Seeds,1 tablespoon Kashmiri Red Chilli Powder",70,North Indian Recipes,"salt,cumin powder (jeera),kashmiri red chilli powder,chicken curry,mustard oil,bay leaf (tej patta),cardamom (elaichi) podsseeds,coriander powder,water,onion paste,onion,cinnamon stick (dalchini),ginger paste,turmeric powder,red chilli paste,garlic paste",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 Beans Stuffed Quesadillas Recipe,"1 teaspoon Sugar,4 Tomatoes - blanched and skin peeled and pureed,1 1/2 cup Whole Wheat Flour,4 cloves Garlic,Salt - to taste,1/2 cup Cheese,1/4 cup Rajma (Large Kidney Beans) - soaked overnight,1 Onion - chopped,1 teaspoon Paprika powder,1/4 cup Black Eyed Beans (Lobia) - soaked overnight,1 teaspoon Red Chilli flakes,4 tablespoon Extra Virgin Olive Oil,1/4 cup Red Black Eyed Beans (Azuki) - soaked overnight,1 teaspoon Dried oregano",105,Mexican,"cheese,salt,wheat flour,red black eyed beans (azuki),paprika powder,cloves garlic,red chilli flakes,virgin olive oil,tomato skin,sugar,onion,rajma (large kidney beans),black eyed beans (lobia),dried oregano",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quick Indian Style Ginger Pickle Recipe,"2 Lemons - juiced,100 gram Ginger - peeled and julienned,4 Green Chillies - slit,1 teaspoon Salt",15,Indian,"salt,green chillies,lemon,gram ginger",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spicy And Tangy Bread Upma Recipe,"1 tablespoon Garam masala powder,1 teaspoon Sugar,Salt - as required,1/2 teaspoon Mustard seeds,10 Whole Wheat Brown Bread - cut into squares or roughly torn,1/2 cup Water,1/2 teaspoon White Urad Dal (Split),6 sprig Coriander (Dhania) Leaves - finely chopped,1/2 teaspoon Chaat Masala Powder,1 Onion - finely chopped,1 Tomato - big,1 tablespoon Sunflower Oil,1 tablespoon Ginger Garlic Paste,1 Green Bell Pepper (Capsicum) - finely chopped,3 Green Chillies - finely chopped",15,South Indian Recipes,"tomato,salt,wheat brown bread,mustard seeds,chaat masala powder,water,ginger garlic paste,white urad dal (split),sugar,onion,coriander (dhania) leaves,green bell pepper (capsicum),green chillies,garam masala powder,sunflower oil",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shrimp Sambal Recipe,"1/8 teaspoon Sugar,2 teaspoons Ginger Paste,Coriander (Dhania) Leaves - a bunch,1 Lemon - sliced,1 Onion - chopped,2 teaspoon Sesame (Gingelly) Oil,1/4 cup Water,4 Shrimps - large,4 cloves Garlic - chopped,2 teaspoons Sambal paste",30,Malaysian,"shrimps large,coriander (dhania),sambal paste,sesame (gingelly) oil,cloves garlic,water,sugar,onion,lemon,ginger paste",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mini Potato Cheesy Au Gratin Recipe,"4-5 cloves Garlic - finely minced,2 cups Potato (Aloo) - cubed,2 tablespoon Nutralite Garlic & Oregano Spread - softened,Salt - to taste,2 tablespoons Nutralite Cheesy Garlic Mayo,1 cup Milk,Black pepper powder - freshly grounded,1 cup Cheddar cheese,1-1/2 cup Heavy whipping cream,2 tablespoon All Purpose Flour (Maida)",70,French,"salt,heavy whipping cream,nutralite cheesy garlic mayo,potato (aloo),milk,cloves garlic,nutralite garlic oregano,cheddar cheese,black pepper powder,flour (maida)",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karwar NKGSB Style Bharli Vangi Recipe - Brinjal Curry,"3 cloves Garlic,3/4 teaspoon Tamarind,1 Onion - thinly sliced,1-1/2 Onion - finely chopped,Salt - to taste,2 Whole Black Peppercorns,2 Potato (Aloo),1/2 teaspoon Mustard seeds,1/2 inch Ginger,1 tablespoon Sunflower Oil,2 Cloves (Laung),3 Byadagi Dried Chillies,1 cup Fresh coconut - grated,1/2 teaspoon Turmeric powder (Haldi),1/4 cup Coriander (Dhania) Leaves - chopped,1 inch Cinnamon Stick (Dalchini),1 Cardamom (Elaichi) Pods/Seeds,2 tablespoons Jaggery,6 Brinjal (Baingan / Eggplant),1 teaspoon Gram flour (besan),1/4 teaspoon Asafoetida (hing),1 sprig Curry leaves",75,Karnataka,"coriander (dhania) leaves,brinjal (baingan eggsplant),asafoetida (hing),jaggery,cloves garlic,black peppercorns,curry leaves,onion,turmeric powder,sunflower oil,salt,cardamom (elaichi) podsseeds,tamarind,coconut,mustard seeds,ginger,potato (aloo),gram flour (besan),byadagi dried chillies,cinnamon stick (dalchini),cloves (laung)",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soto Ayam Recipe - Indonesian Chicken Noodle Meal bowl,"200 grams Chicken breasts,2 Boiled egg,1 teaspoon Coriander (Dhania) Seeds,2 cups Water,2 teaspoons Garlic - fried,1 teaspoon Whole Black Peppercorns,Salt - to taste,1/4 cup Celery,2 Stalks Lemongrass,1/2 cup Coriander (Dhania) Leaves,1 teaspoon Turmeric powder (Haldi),1 tablespoon Lemon juice,1/2 cup Bean Sprouts,5 Kaffir lime leaves,2 Onions - cut into cubes,1/4 cup Spring Onion Greens,8 cloves Garlic,1 Stalks Lemongrass,1/2 cup Rice noodles,Lemon wedges - to serve,1 teaspoon Cumin seeds (Jeera),1 inch Ginger,1 cup Coconut milk",40,Indonesian,"spring onion greens,coriander (dhania) leaves,cloves garlic,black peppercorns,coriander (dhania) seeds,onion,cumin seeds (jeera),rice noodles,chicken breasts,turmeric powder,salt,lemon,water,garlic,lemon,stalks lemongrass,coconut milk,boiled eggs,ginger,kaffir lime leaves,bean sprouts,celery",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vegetarian Tofu Matzo Ball Soup Recipe,"1 Onion - diced,1 tablespoon Extra Virgin Olive Oil,1/8 cup Extra Virgin Olive Oil,2 - 3 sprig Dill leaves - finely chopped,1 Onion - finely chopped,Salt and Pepper - to taste,1/2 cup Matzo Meal - or bread crumbs,100 gram Tofu - firm,1/2 cup Vegetable stock,1 inch Ginger - peeled and grated,1 Carrot (Gajjar) - cut into strips,4 - 5 Parsley leaves - finely chopped,4 cloves Garlic - fine chopped,3 - 4 Parsley leaves - finely chopped,3 cups Vegetable stock",60,Jewish,"salt,vegetable stock,ginger,cloves garlic,virgin olive oil,carrot,onion,parsley leaves,matzo meal bread crumbs,gram tofu firm,pepper,dill leaves",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chettinad Mixed Bean Adai Recipe,"1 cup Basmati rice,1/2 teaspoon Turmeric powder (Haldi),1/4 cup Arhar dal (Split Toor Dal),1/4 cup White Urad Dal (Split),3 Dry Red Chillies,1/4 cup Green Moong Dal (Split),1 teaspoon Cumin seeds (Jeera),1 teaspoon Fennel seeds (Saunf),1/4 teaspoon Asafoetida (hing),2 cups Water,Sunflower Oil - as required,1 teaspoon Salt",20,South Indian Recipes,"basmati rice,salt,arhar dal (split toor dal),asafoetida (hing),fennel seeds (saunf),water,white urad dal (split),dry red chillies,cumin seeds (jeera),green moong dal (split),turmeric powder,sunflower oil",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restaurant Style Paneer Lababdar Recipe,"1 teaspoon Kashmiri Red Chilli Powder,1/2 teaspoon Cumin powder (Jeera),2 teaspoons Kasuri Methi (Dried Fenugreek Leaves),2 teaspoons Sunflower Oil,200 grams Paneer (Homemade Cottage Cheese) - cut into triangles,1 teaspoon Garam masala powder,2 tablespoons Fresh cream,1 teaspoon Cumin seeds (Jeera),1 inch Ginger - grated,Salt - to taste,1 Onion - finely chopped,3 Tomatoes - pureed,2 teaspoons Butter,1 inch Ginger - cut into jullienes for garnish",30,North Indian Recipes,"tomato,salt,cumin powder (jeera),ginger,kashmiri red chilli powder,ginger jullienes,paneer,onion,cumin seeds (jeera),kasuri methi (dried fenugreek leaves),butter,garam masala powder,sunflower oil",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chocolate And Salted Caramel Tart Recipe,"1/4 cup Honey,1 cup Heavy whipping cream,300 grams Dark chocolate - chopped into small pieces,Dried rose petals - for garnish (optional),100 grams Butter (unsalted) - for a vegan version use 1/3 cup slightly melted coconut oil,2/3 cup Brown Sugar (Demerara Sugar),100 grams Butter,1/4 cup Heavy whipping cream,1/4-1/2 teaspoon Salt,1 1/4 cups Rolled Oats - not the quick cooking variety,2 tablespoons Cocoa Powder,3/4 cup Whole Wheat Flour",95,Continental,"rolled oats not the quick variety,salt,wheat flour,butter vegan version coconut oil,heavy whipping cream,dried rose,dark chocolate,brown sugar (demerara sugar),cocoa powder,butter",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
