TranslatedRecipeName,TranslatedIngredients,TotalTimeInMins,Cuisine,Cleaned-Ingredients,Ingredient-count,Canonical_Name,Name_Aliases,Cleaned_RecipeName
Halloumi Bruschetta Recipe with Tomato and Roasted Red Capsicum,"100 grams Halloumi Cheese - sliced to 1/4 th inch thick,1/2 French Loaf,Salt - to taste,1 Red Bell pepper (Capsicum) - chopped,Black pepper powder - to taste,2 sprig Parsley leaves,2 Tomatoes - chopped,1 clove Garlic - grated,Extra Virgin Olive Oil - as required",40,Fusion,"tomato,salt,red bell pepper,houmi cheese,french loaf,cloves garlic,virgin olive oil,parsley leaves,black pepper powder",9,halloumi bruschetta with tomato and roasted red capsicum,[],halloumi bruschetta with tomato and roasted red capsicum
Egg Kothu Paratha Recipe,"1/4 cup Coriander (Dhania) Leaves - chopped,1/2 teaspoon Mustard seeds,1 Lemon - juiced,Salt - to taste,1/4 teaspoon SSP Asafoetida (Hing),1/2 teaspoon Garam masala powder - or egg curry masala,2 Green Chillies - slit,1/2 teaspoon Black pepper powder,2 Onions - finely chopped,6 cloves Garlic - finely chopped,2 sprig Curry leaves - torn,3 Whole Eggs,1 tablespoon Sunflower Oil,2 Tomatoes - finely chopped,1/4 teaspoon Turmeric powder (Haldi),1 inch Ginger - finely chopped,1/2 teaspoon Red Chilli powder,2 cups Leftover roti - torn into 1 inch bits",40,Indian,"tomato,garam masala powder eggs curry masala,salt,ginger,mustard seeds,asafoetida,coriander leaves,leftover roti,red chilli powder,cloves garlic,curry leaves,lemon,onion,black pepper powder,eggs,turmeric powder,green chillies,sunflower oil",18,egg kothu paratha,[],egg kothu paratha
Moru Kachiyathu Recipe - Kerala Style Seasoned Buttermilk,"5 Shallots - (pearl onions),1 Green Chilli - finely chopped,1/2 teaspoon Turmeric powder (Haldi),2 cups Curd (Dahi / Yogurt),2 teaspoons Coconut Oil,Salt - to taste,1-1/2 cups Water,1 teaspoon Mustard seeds,3 Garlic - cloves,2 Dry Red Chillies,1/2 teaspoon Methi Seeds (Fenugreek Seeds),1 inch Ginger - finely chopped,1 sprig Curry leaves",20,Kerala Recipes,"garlic cloves,salt,ginger,green chilli,mustard seeds,water,curd,curry leaves,dry red chillies,onion,methi seeds,coconut oil,turmeric powder",13,moru kachiyathu,['kerala style seasoned buttermilk'],"moru kachiyathu, kerala style seasoned buttermilk"
Dal Vada with Oats and Vegetable Recipe,"1 Carrot (Gajjar) - grated,2 sprig Coriander (Dhania) Leaves - chopped,Salt - to taste,1/2 cup White Urad Dal (Whole) - soaked for 30 minutes,1 cup Instant Oats (Oatmeal),1 Onion - chopped,1 Green Chilli - chopped,1 cup Cabbage (Patta Gobi/ Muttaikose),4 cloves Garlic - chopped,1 sprig Curry leaves - chopped,1 cup Chana dal (Bengal Gram Dal) - soaked for 30 minutes",50,Tamil Nadu,"salt,green chilli,cloves garlic,carrot,cabbage,curry leaves,coriander leaves,onion,chana dal,instant oats,white urad dal",11,dal vada with oats and vegetable,[],dal vada with oats and vegetable
 Maharastrian Varan Phal Recipe," 1/4 tsp Turmeric powder, water - 1 onion - chopped, 1 tbsp oil, 1 tsp sugar, as per use, 1/4 tsp celery, 1/4 tsp coriander powder, 1/4 tsp rye, 3/4 cup arhar dal, salt - as per taste,2 cups wheat flour, 2 kokum - soaked in water and remove extract, 1 tsp red chilli powder, 1 tsp oil",50,Maharashtrian Recipes,"turmeric powder,salt,wheat flour,rye,celery,red chilli powder,water,sugar,onion,oil,coriander powder,arhar dal,kokum remove",13,maharastrian varan phal,[],maharastrian varan phal
Asian Style Bean Sprout & Corn Salad Recipe,"1 Red Bell pepper (Capsicum) - finely chopped,2 teaspoons Mustard sauce,1 teaspoon Sesame (Gingelly) Oil,Salt - to taste,Red Chilli flakes - as needed,1 teaspoon Soy sauce,1 pinch Garlic powder,Iceberg lettuce - small bunch,1 Lemon - juiced,1/4 cup Sweet corn - steamed,1 Dry Red Chilli - finely chopped,2 Spring Onion (Bulb & Greens) - finely chopped,200 grams Bean Sprouts,2 teaspoons Honey,100 grams Star fruit - roughly chopped,1 teaspoon Sesame seeds (Til seeds) - toasted",30,Continental,"salt,red bell pepper,bean sprouts,star fruit,mustard sauce,sesame oil,soy sauce,red chilli flakes,spring onion,iceberg lettuce,lemon,dry red chilli,garlic powder,sweet corn,sesame seeds",15,asian style bean sprout & corn salad,[],asian style bean sprout & corn salad
Tres Leches Recipe - Mexican Three Milk Cake,"400 ml Milk - evaporated or whole milk,1-1/2 cups All Purpose Flour (Maida),3/4 cup Caster Sugar,1 teaspoon Baking powder,1/4 cup Icing Sugar,1/4 cup Milk,1/4 teaspoon Salt,1 teaspoon Vanilla Extract,500 ml Fresh cream,1/3 cup Sunflower Oil,2 cups Double Cream,400 ml Condensed Milk,2 Whole Eggs",70,Mexican,"double,baking powder,salt,milk,milk evaporated milk,vanilla,eggs,caster sugar,condensed milk,flour,icing sugar,sunflower oil",12,tres leches,['mexican three milk cake'],"tres leches, mexican three milk cake"
Vegan Chocolate Mocha Banana Cake Recipe,"1 teaspoon Baking soda,1/2 cup Chocolate chips,1/4 teaspoon Salt,1 teaspoon Vanilla Extract,1 teaspoon Instant Coffee Powder,1/2 cup Ripe Bananas - mashed,1/3 cup Sunflower Oil,1 cup Water - (adjust),1 teaspoon Vinegar,1/4 cup Cocoa Powder,1-2/3 cups Whole Wheat Flour,3/4 cup Brown Sugar (Demerara Sugar)",55,Continental,"salt,wheat flour,bananas,instant coffee powder,water,baking soda,vanilla,vinegar,brown sugar,cocoa powder,chocolate chips,sunflower oil",12,vegan chocolate mocha banana cake,[],vegan chocolate mocha banana cake
Baked Jaggery Rasgulla Recipe,"10 Rasgulla - cut in half horizontally,1 cup Milk,Pistachios - for garnishing,1 teaspoon Brown Sugar (Demerara Sugar) - for sprinkling,200 grams Paneer (Homemade Cottage Cheese),4 tablespoons Palm jaggery,Saffron strands - Few,4 tablespoons Condensed Milk",40,Oriya Recipes,"pistachios,paneer,milk,saffron strands,palm jaggery,brown sugar sprinkling,condensed milk,rasgulla horizonty",8,baked jaggery rasgulla,[],baked jaggery rasgulla
Crispy Corn And Bell Peppers Chaat Recipe,"1 tablespoon Green Chutney (Coriander & Mint) - (adjust to taste),2 Green Chillies,Coriander (Dhania) Leaves - a small bunch,Salt - to taste,1 tablespoon All Purpose Flour (Maida),1 pinch Black Salt (Kala Namak),1 Onion - finely chopped,1 tablespoon Sweet Chutney (Date & Tamarind) - (adjust to taste),Lemon juice - to taste,2 cups Sweet corn,1 tablespoon Corn flour,1 pinch Chaat Masala Powder,1/2 cup Green Bell Pepper (Capsicum) - stir fried,1 tablespoon Rice flour,1/2 teaspoon Red Chilli powder,1 teaspoon Black pepper powder,Sunflower Oil - to deep fry",30,Indian,"salt,black salt,corn flour,coriander,rice flour,green bell pepper stir,chaat masala powder,red chilli powder,sweet chutney,sweet corn,onion,lemon,green chutney,black pepper powder,flour,green chillies,sunflower oil",17,crispy corn and bell peppers chaat,[],crispy corn and bell peppers chaat
"Gujarati Badshahi Pulao Recipe - A Rich Preparation Of Rice, Vegetables, Nuts And Spices","1 cup Tomatoes - chopped,1/4 cup Mint Leaves (Pudina) - chopped,2 Onions - chopped,3 cloves Garlic,3 Green Chillies,2 cups Basmati rice,Salt - to taste,4 tablespoons Ghee,1 cup Cauliflower (gobi) - florets,3 Cardamom (Elaichi) Pods/Seeds,1/4 cup Green peas (Matar),1/4 cup Raisins - sutana variety,1 inch Ginger - chopped,2 teaspoons Whole Black Peppercorns,3 Cloves (Laung),2 tablespoons Badam (Almond) - sliced,1/2 teaspoon Turmeric powder (Haldi),1 inch Cinnamon Stick (Dalchini),1/4 cup Green beans (French Beans),1 Bay leaf (tej patta),2 tablespoons Cashew nuts,1/4 cup Carrots (Gajjar) - chopped",50,Gujarati Recipes﻿,"tomato,basmati rice,cloves garlic,carrot,black peppercorns,onion,turmeric powder,green chillies,salt,cardamom podsseeds,mint leaves,green beans,raisins sutana variety,cauliflower florets,cashew nuts,ginger,bay leaf,ghee,green peas,cinnamon stick,badam,cloves",22,gujarati badshahi pulao,"['a rich preparation of rice, vegetables, nuts and spices']","gujarati badshahi pulao, a rich preparation of rice, vegetables, nuts and spices"
Homemade Sev Recipe - Gram Flour Vermicelli Snack,"1/2 teaspoon Turmeric powder (Haldi),Sunflower Oil - (Sunflower Oil) for deep frying,Salt - to taste,1/2 cup Water,4 tablespoons Sunflower Oil,2 cups Gram flour (besan),1/2 teaspoon Asafoetida (hing)",60,Indian,"salt,asafoetida,water,gram flour,sunflower oil,turmeric powder",7,homemade sev,['gram flour vermicelli snack'],"homemade sev, gram flour vermicelli snack"
Masala French Toast Recipe,"1 Green Chilli - finely chopped,2 sprig Coriander (Dhania) Leaves - finely chopped,4 Whole Wheat Brown Bread - slices,1/4 cup Milk,1 Tomato - finely chopped,1/4 teaspoon Red Chilli powder,1 Onion - finely chopped,Salt and Pepper - to taste,4 tablespoons Butter,2 Whole Eggs,1 teaspoon Chaat Masala Powder",40,Fusion,"tomato,wheat brown bread,salt,green chilli,milk,chaat masala powder,red chilli powder,coriander leaves,onion,pepper,eggs,butter",12,masala french toast,[],masala french toast
Raw Banana Thoran Recipe,"10 Pearl onions (Sambar Onions) - finely chopped,1/2 teaspoon Turmeric powder (Haldi),2 Green Chillies,Salt - to taste,8 Curry leaves,1 teaspoon Mustard seeds,2 cloves Garlic - finely chopped,1/4 cup Fresh coconut - grated,2 Dry Red Chillies,1/4 cup Coriander (Dhania) Leaves - roughly chopped,1 teaspoon Coconut Oil,2 Raw Banana - boiled and diced",25,Kerala Recipes,"green chillies,salt,mustard seeds,coconut,coriander leaves,cloves garlic,curry leaves,pearl onion,dry red chillies,turmeric powder,coconut oil,banana",12,raw banana thoran,[],raw banana thoran
Hunan Style Smacked Cucumber Pickles Recipe,"Salt - to taste,1 Cucumber - sliced or diced,4 cloves Garlic - sliced,2 teaspoon Light soy sauce,4 teaspoon Vinegar,4 teaspoon Caster Sugar,2 tablespoon Chilli oil,1 teaspoon Red Chilli sauce",20,Chinese,"salt,cloves garlic,light soy sauce,vinegar,caster sugar,cucumber,red chilli sauce,chilli oil",8,hunan style smacked cucumber pickles,[],hunan style smacked cucumber pickles
Creamy Kulfi Kebab Recipe With Tandoori Mayo Recipe,"1 tablespoon Lemon juice,1/4 cup Del Monte Tandoori Mayo,3 cloves Garlic - grated,Salt - to taste,1 inch Ginger - grated,1 Banana leaf,8 Chicken Wings,1 tablespoon Curd (Dahi / Yogurt),1 tablespoon Fresh cream,1/4 tablespoon Cheese - grated,1 tablespoon Mustard oil",60,North Indian Recipes,"cheese,salt,ginger,mustard oil,chicken wings,cloves garlic,banana leaf,del monte tandoori mayo,curd,lemon",10,creamy kulfi kebab with tandoori mayo,[],creamy kulfi kebab with tandoori mayo
Spinach Sun Dried Tomato Pasta Recipe,"1 tablespoon Mixed Herbs (Dried),Salt - to taste,10 Sun Dried Tomatoes - chopped,4 to 5 cloves Garlic,1 teaspoon Red Chilli flakes,Parsley leaves - as required (chopped) or Basil,2 Tomatoes - chopped,1 tablespoon Fresh cream,1/2 Green zucchini - chopped,2-1/2 cup Conchiglie Pasta,2 cups Spinach Leaves (Palak)",35,Italian Recipes,"tomato,salt,sun dried tomato,mixed herbs,conchiglie pasta,cloves garlic,red chilli flakes,parsley leaves basil,green zucchini,spinach leaves",10,spinach sun dried tomato pasta,[],spinach sun dried tomato pasta
Moong Dal Sookhi Sabzi Recipe,"1 tablespoon Red Chilli powder,1 tablespoon Lemon juice,1/2 teaspoon Turmeric powder (Haldi),1 Green Chilli,Salt - to taste,1 teaspoon Garam masala powder,Coriander (Dhania) Leaves - as required to garnish,1 cup Yellow Moong Dal (Split),2 tablespoon Sunflower Oil",30,North Indian Recipes,"salt,yellow moong dal,green chilli,coriander leaves,red chilli powder,lemon,turmeric powder,garam masala powder,sunflower oil",9,moong dal sookhi sabzi,[],moong dal sookhi sabzi
 Gajar Vadi Recipe," 1/2 cup wheat flour - 1 teaspoon red chilli powder, 2 tablespoons curd, 2 teaspoons oil, 1 teaspoon turmeric powder, 1 green chili - finely chopped, 1 teaspoon mustard, 1 teaspoon cumin powder, 1 small Tablespoon oil, 1 sprig curry leaves, 1 teaspoon sugar, salt - as per taste, 2 teaspoons sesame seeds (white),2 cups carrots - grated, 1-1 / 2 cups gram flour, 1/2 teaspoon cumin seeds, 1/4 teaspoon Asafoetida, 1 tablespoon lemon juice",35,Maharashtrian Recipes,"turmeric powder,salt,green chilli,cumin powder,asafoetida,wheat flourred chilli powder,carrot,mustard,curd,sugar,curry leaves,sesame seeds,oil,lemon,cumin seeds,gram flour",16,gajar vadi,[],gajar vadi
 Broccoli And Aloo Poriyal Recipe (Recipe In Hindi),"1 broccoli - cut into small pieces, 1 teaspoon red chilli powder, 1 clove curry leaves - break, 3 potatoes - peel and cut into wedges, 1/2 teaspoon mustard, salt - taste Oil according to use, 1/2 teaspoon turmeric powder",35,South Indian Recipes,"turmeric powder,clove curry leaves break,red chilli powder,mustard,broccoli,potatoes,salt oil",7,broccoli and aloo poriyal,[],broccoli and aloo poriyal
"Roasted Cauliflower, Celery And Carrot Creamy Vegetable Soup Recipe","1 Cauliflower (gobi) - head,1 tablespoon Extra Virgin Olive Oil,1 Onion - cut into large dice,1 teaspoon Cumin powder (Jeera),1/4 teaspoon Red Chilli flakes,1/2 cup Milk - evaporated,3 cloves Garlic - thinly sliced,1 teaspoon Paprika powder,3 Carrots (Gajjar) - peeled and cut into chunks,1 tablespoon Butter,Salt and Pepper - to taste,2 cups Vegetable stock,1 teaspoon Palm sugar,2 Stalks Celery - finely chopped",35,Continental,"salt,cumin powder,vegetable stock,cauliflower head,paprika powder,milk evaporated,virgin olive oil,carrot,stalks celery,cloves garlic,red chilli flakes,palm sugar,onion,pepper,butter",15,"roasted cauliflower, celery and carrot creamy vegetable soup",[],"roasted cauliflower, celery and carrot creamy vegetable soup"
Bengali Chapor Ghonto Recipe-Moong Dal With Vegetables,"1 Dry Red Chilli,1/2 cup Chana dal (Bengal Gram Dal) - cooked,Mustard oil - as required to grease,1 cup Bottle gourd (lauki) - cubed,1/8 teaspoon Turmeric powder (Haldi),1/2 inch Ginger - grated,Salt - to taste,1 teaspoon Ghee,Coriander (Dhania) Leaves - as required and chopped,2 Bay leaves (tej patta),1 Potato (Aloo) - cubed,2 Dry Red Chillies - halved,1 Carrot (Gajjar) - cubed,1 teaspoon Sugar - adjustable,1 teaspoon Panch Phoran Masala,1 cup Yellow Moong Dal (Split),1 Small Green brinjal (green aubergine) - cubed",225,Bengali Recipes,"salt,yellow moong dal,ginger,bay leaves,ghee,coriander leaves,potato,carrot,dry red chilli,sugar,dry red chillies,bottle gourd,mustard oil grease,panch phoran masala,turmeric powder,chana dal,green brinjal",17,bengali chapor ghonto,['moong dal with vegetables'],"bengali chapor ghonto, moong dal with vegetables"
Simple Steamed Indian Beet Salad Recipe,"Black pepper powder - to sprinkle,Salt - to taste,Cumin powder (Jeera) - to sprinkle,1 teaspoon Lemon juice - freshly squeezed,Chaat Masala Powder - to sprinkle,4 Beetroots",25,Indian,"salt,cumin powder,beetroots,chaat masala powder,lemon,black pepper powder",6,simple steamed indian beet salad,[],simple steamed indian beet salad
Bhindi And Paneer Masala Recipe,"1 teaspoon Sugar,1/2 teaspoon Turmeric powder (Haldi),4 cloves Garlic,150 grams Bhindi (Lady Finger/Okra) - chopped to inch,Sunflower Oil - for cooking,Salt - to taste,1 inch Cinnamon Stick (Dalchini),1 teaspoon Red Chilli powder,1 Cardamom (Elaichi) Pods/Seeds,1 Onion - chopped,1 inch Ginger,2 teaspoon Coriander Powder (Dhania),2 Tomatoes - chopped,1 Bay leaf (tej patta),2 Cloves (Laung),1 tablespoon Hung Curd (Greek Yogurt),1 cup Paneer (Homemade Cottage Cheese) - cubed",40,North Indian Recipes,"tomato,salt,ginger,hung curd,bay leaf,paneer,cardamom podsseeds,red chilli powder,cloves garlic,sugar,onion,cinnamon stick,bhindi,coriander powder,turmeric powder,cloves,sunflower oil",17,bhindi and paneer masala,[],bhindi and paneer masala
Caramelized Onion Tart with Ricotta Cheese Recipe,"800 grams Onions - thinly sliced,1 All Purpose Pie Crust - prepare the rough and refrigerate the dough,200 grams Ricotta Cheese,Salt and Pepper - to taste,2 teaspoons Red Chilli flakes,Extra Virgin Olive Oil - for cooking",150,French,"salt,red chilli flakes,pie crust prepare the refrigerate the dough,virgin olive oil,ricotta cheese,onion,pepper",7,caramelized onion tart with ricotta cheese,[],caramelized onion tart with ricotta cheese
Assamese Machor Tenga Anja Recipe - Fish Curry With Kokum,"5 Rohu fish - or any fresh water fish like catla,4 cups Hot water,1 Salt - to taste,3 Green Chillies - chopped,1/2 Methi Seeds (Fenugreek Seeds),1 tablespoon Turmeric powder (Haldi),5 Kokum (Malabar Tamarind),1 Elephant yam (Suran/Senai/Ratalu),4 cloves Garlic - chopped,1 Tomato - chopped,3 teaspoons Mustard oil",40,Assamese,"tomato,salt,elephant yam,mustard oil,kokum,water,cloves garlic,rohu fish water fish like catla,methi seeds,turmeric powder,green chillies",11,assamese machor tenga anja,['fish curry with kokum'],"assamese machor tenga anja, fish curry with kokum"
Quick Chocolate Pudding Recipe,"Chocolate Shavings,3 tablespoons Corn flour,500 ml Milk,1/3 cup Cocoa Powder,2 Egg yolks,1/2 cup Sugar,2 teaspoon Vanilla Extract",30,Continental,"chocolate shavings,corn flour,eggs,milk,sugar,vanilla,cocoa powder",7,chocolate pudding,[],chocolate pudding
Kerala Thenga Chammanthi Recipe- Coconut Onion Chutney,"1 cup Fresh coconut - grated,3 Dry Red Chillies,3 Shallots,Salt - to taste,20 grams Tamarind,1/2 inch Ginger,3 Dry Red Chilli,1 sprig Curry leaves",5,Kerala Recipes,"salt,ginger,coconut,dry red chilli,curry leaves,dry red chillies,tamarind",7,kerala thenga chammanthi,['coconut onion chutney'],"kerala thenga chammanthi, coconut onion chutney"
Potato Onion Cheela Recipe,"Nutralite Garlic & Oregano Spread - as required,2 tablespoon Whole Wheat Flour,Water - as required,1 teaspoon Cumin powder (Jeera),2 Potato (Aloo) - finely grated,Salt - to taste,1 teaspoon Red Chilli powder,1/2 teaspoon Black pepper powder,1 Onion - finely chopped,3 tablespoons Gram flour (besan)",25,Indian,"salt,wheat flour,cumin powder,potato,red chilli powder,water,gram flour,nutralite garlic oregano,onion,black pepper powder",10,potato onion cheela,[],potato onion cheela
 Pumpkin Dal With Garlic Tadka (Recipe In Hindi)," oil - as per use, 1 teaspoon cumin seeds, 1/4 cup yellow moong dal, 1/4 cup masoor dal, 2 tomatoes - finely chopped Take 250 grams of pumpkin - (Pumpkin), 1 teaspoon ghee, 1 bay leaf, peel and chop, 1 teaspoon turmeric powder, 4 bud garlic,1/4 cup arhar dal, 2 dry red chillies, salt - as per taste, 2 green chillies - chopped, 1 inch ginger - grated, 1 inch lentil sugar",45,North Indian Recipes,"turmeric powder,salt,ginger,ghee,lentil sugar,tomatotake pumpkin,masoor dal,bay leaf,dry red chillies,oil,arhar dal,bud garlic,green chillies,cumin seeds,yellow moong dal",15,pumpkin dal with garlic tadka,[],pumpkin dal with garlic tadka
Nawabi Mixed Vegetable Gravy Recipe,"1/4 cup Green beans (French Beans) - cut in one inch pieces,1 teaspoon Red Chilli powder,8 to 10 Cashew nuts - blanched,1 Onion - blanched,2 inch Ginger,1 teaspoon Garam masala powder,2 to 3 Cloves (Laung),1/4 cup Green peas (Matar),1/2 teaspoon Cumin seeds (Jeera),1 Onion - sliced,1 Green Chilli - slit,2 to 3 Garlic,2 teaspoons Coriander Powder (Dhania),Coriander (Dhania) Leaves - finely chopped for garnish,1 Tomato,1 inch Cinnamon Stick (Dalchini),2 tablespoons Ghee,1 Bay leaf (tej patta),1/2 cup Cauliflower (gobi),1 Tomato - roughly chopped,1/4 cup Carrots (Gajjar) - cubed",60,North Indian Recipes,"tomato,cashew nuts,green beans,ginger,green chilli,bay leaf,ghee,coriander leaves,cauliflower,green peas,red chilli powder,carrot,cinnamon stick,onion,garlic,cumin seeds,coriander powder,cloves,garam masala powder",19,nawabi mixed vegetable gravy,[],nawabi mixed vegetable gravy
Cauliflower Leaves Chutney Recipe,"1 pinch Turmeric powder (Haldi),4 Dry Red Chilli,18 gram Tamarind,1 cup Cauliflower leaves,Salt - to taste,1 teaspoon Mustard seeds,2 tablespoons White Urad Dal (Split),1 tablespoon Sunflower Oil,1 sprig Curry leaves,3 cloves Garlic,1/2 teaspoon Cumin seeds (Jeera),3/4 cup Tomatoes,1 pinch Asafoetida (hing)",25,South Indian Recipes,"tomato,salt,gram tamarind,asafoetida,mustard seeds,cloves garlic,dry red chilli,curry leaves,cauliflower leaves,white urad dal,cumin seeds,turmeric powder,sunflower oil",13,cauliflower leaves chutney,[],cauliflower leaves chutney
Lobia Kebabs Recipe (Black Eyed Bean Patties),"2 tablespoon Mint Leaves (Pudina),1 teaspoon Extra Virgin Olive Oil - to aid in the shallow frying process,1/2 Red Bell pepper (Capsicum) - finely chopped,1 teaspoon Cumin powder (Jeera),Salt - to taste,1/4 Instant Oats (Oatmeal) - rolled and powdered,1/2 teaspoon Garam masala powder,1 Onion - finely chopped,1 cup Black Eyed Beans (Lobia),2 teaspoons Red Chilli powder - (adjust to tolerance),2 tablespoon Coriander (Dhania) Leaves,2 Green Chillies - finely chopped (optional),1 clove Garlic - finely chopped",55,North Indian Recipes,"green chillies,red bell pepper,cumin powder,salt,virgin olive oil aid the process,coriander leaves,instant oats rolled,cloves garlic,onion,red chilli powder,mint leaves,black eyed beans,garam masala powder",13,lobia kebabs,['black eyed bean patties'],"lobia kebabs, black eyed bean patties"
Thai Pineapple Vegetarian Fried Rice Recipe (No Onion No Garlic),"1 teaspoon Sugar,1 cup Tomatoes - chopped,1/4 cup Dry Fruits - I used black grapes and almonds,1 teaspoon Garam masala powder,Salt - to taste,2 tablespoon Butter,2 cups Cooked rice,1/2 teaspoon Black pepper powder,1 teaspoon Soya sauce,1 cup Pineapple - chopped into cubes,1/2 cup Green peas (Matar),1 Green Chilli - chopped,1/2 cup Carrot (Gajjar) - chopped,1 cup Green Bell Pepper (Capsicum) - add red and yellow as well,1/2 cup Green beans (French Beans) - chopped",35,Thai,"tomato,pineapple,green beans,salt,dry fruits used black grapes almonds,green chilli,rice,green bell pepper red yellow,green peas,carrot,soya sauce,sugar,black pepper powder,butter,garam masala powder",15,thai pineapple vegetarian fried rice,['no onion no garlic'],"thai pineapple vegetarian fried rice, no onion no garlic"
Chinese Vegetable Dry Manchurian Balls Recipe (No Onion No Garlic),"2 teaspoon Tomato Ketchup,Coriander (Dhania) Leaves - to garnish,Salt - to taste,1 teaspoon Soy sauce,1/4 cup Green beans (French Beans) - finely chopped,Green Bell Pepper (Capsicum) - finely chopped,Yellow Bell Pepper (Capsicum) - finely chopped,1 cup Red Bell pepper (Capsicum) - finely chopped,Sunflower Oil - to deep fry,1 teaspoon Ginger - grated,1 teaspoon Sugar,1/4 cup Carrot (Gajjar) - grated,1 cup Cabbage (Patta Gobi/ Muttaikose) - shredded,3 tablespoon Chilled water,2 Green Chillies - finely chopped,2 tablespoon All Purpose Flour (Maida),1 tablespoon Corn flour,1 teaspoon Sunflower Oil,1/4 cup Carrot (Gajjar) - finely chopped,1 teaspoon Ginger - finely chopped,1 teaspoon Salt",35,Indo Chinese,"yellow bell pepper,salt,red bell pepper,ginger,corn flour,green beans,coriander leaves,soy sauce,carrot,water,tomato ketchup,sugar,green bell pepper,flour,green chillies,cabbage,sunflower oil",17,chinese vegetable dry manchurian balls,['no onion no garlic'],"chinese vegetable dry manchurian balls, no onion no garlic"
Peshawari Kala Chana Recipe,"1 Onion - sliced,1 tablespoon Coriander Powder (Dhania),1 inch Cinnamon Stick (Dalchini),2-3 teaspoon Coriander (Dhania) Leaves - finely chopped for garnish,Salt - to taste,1 teaspoon Red Chilli powder,2 Green Chillies - finely chopped,1 tablespoon Ginger - paste,1 tablespoon Anardana Powder (Pomegranate Seed Powder) - dried,2 Black cardamom (Badi Elaichi),2 tablespoons Ghee,2 cups Kala Chana (Brown Chickpeas) - sprouted,2 tablespoons Chana Masala Powder,1 cup Tomatoes - finely chopped",60,Pakistani,"kala chana sprouted,tomato,black cardamom,salt,coriander powder,anardana powder dried,ghee,chana masala powder,coriander leaves,red chilli powder,onion,cinnamon stick,ginger paste,green chillies",14,peshawari kala chana,[],peshawari kala chana
Peas Pulao Recipe -  North Indian Matar Pulao,"1 Onion - sliced,1 inch Cinnamon Stick (Dalchini),Salt - to taste,2 Cardamom (Elaichi) Pods/Seeds,1/2 cup Green peas (Matar),1 tablespoon Ghee,1 Bay leaf (tej patta),2 Cloves (Laung),1-1/2 cup Basmati rice,1 Star anise,1/2 teaspoon Cumin seeds (Jeera)",35,Indian,"basmati rice,salt,bay leaf,ghee,cardamom podsseeds,green peas,cinnamon stick,cumin seeds,onion,cloves,star anise",11,peas pulao,['north indian matar pulao'],"peas pulao, north indian matar pulao"
Creamy Mushroom Mini Pie Recipe,"3 cloves Garlic - grated,90 ml Fresh cream,1 sprig Basil leaves - finely chopped,1 Onion - finely chopped,1 recipe Pastry dough - short crust tart,250 grams Button mushrooms - chopped (any variety),1 teaspoon Black pepper powder - pounded,1 Whole Eggs - egg wash (or milk),Sesame seeds (Til seeds) - liittle to sprinkle,Sunflower Oil - as required",370,Continental,"sesame seeds liittle,basil leaves,cloves garlic,eggs,sunflower oil",9,creamy mushroom mini pie,[],creamy mushroom mini pie
 Hara Dhania Paratha Recipe," pepper powder , Oil - or ghee, 1 tsp turmeric powder, 2 green chillies - finely chopped, 1 tsp cumin powder,1-1 / 2 cup wheat flour, salt - as per taste, coriander leaves - a little, 1 inch ginger - grated",40,Indian,"turmeric powder,salt,wheat flour,ginger,coriander leaves,cumin powder,pepper powder,green chillies,oil ghee",9,hara dhania paratha,[],hara dhania paratha
Watermelon Seeds And Pumpkin Seeds Podi Recipe,"Salt - to taste,1/2 cup Curry leaves,1/4 cup Pumpkin seeds,1/4 cup Watermelon seeds,1/4 teaspoon Asafoetida (hing),10 Dry Red Chillies - adjustable,1/3 cup White Urad Dal (Split)",35,South Indian Recipes,"salt,asafoetida,curry leaves,watermelon seeds,dry red chillies,white urad dal,pumpkin seeds",7,watermelon seeds and pumpkin seeds podi,[],watermelon seeds and pumpkin seeds podi
Gulachi Poli Recipe (Jaggery And Poppy Seeds Stuffed Paratha),"Salt - as required,1-1/2 cup Whole Wheat Flour,1 tablespoon Nutmeg powder,1/2 cup Poppy seeds,2 tablespoon Dry coconut (kopra) - grated,2 tablespoons Milk - or as required,Ghee - as required for roasting the Gulachi poli (optional),2-1/2 tablespoons Gram flour (besan),1/2 cup Sesame seeds (Til seeds),2 tablespoons Sunflower Oil,2-1/2 tablespoon Gram flour (besan),1 tablespoon Cardamom Powder (Elaichi),2 cup Jaggery - grated",50,Maharashtrian Recipes,"salt,wheat flour,nutmeg powder,milk,jaggery,ghee roasting the gulachi poli,dry coconut,gram flour,poppy seeds,cardamom powder,sesame seeds,sunflower oil",12,gulachi poli,[],gulachi poli
